,Brewery,City,State,Beer,ABV,IBU,Style,Ounces
583,Cigar City Brewing Company,Tampa, FL,Happening Now,0.045,NA,American IPA,12
584,Cigar City Brewing Company,Tampa, FL,Jai Alai IPA Aged on White Oak,0.075,70,American IPA,12
585,Cigar City Brewing Company,Tampa, FL,José Martí American Porter,0.08,65,American Porter,12
586,Cigar City Brewing Company,Tampa, FL,Sugar Plum,0.055,NA,American Brown Ale,12
587,Cigar City Brewing Company,Tampa, FL,Tocobaga Red Ale,0.072,75,American Amber / Red Ale,12
588,Cigar City Brewing Company,Tampa, FL,Puppy's Breath Porter,0.06,NA,American Porter,12
589,Cigar City Brewing Company,Tampa, FL,Invasion Pale Ale,0.05,NA,American Pale Ale (APA),12
590,Cigar City Brewing Company,Tampa, FL,Wandering Pelican,0.082,65,American Black Ale,12
591,Cigar City Brewing Company,Tampa, FL,Maduro Brown Ale,0.055,25,American Brown Ale,12
592,Cigar City Brewing Company,Tampa, FL,Hotter Than Helles Lager,0.05,NA,Munich Helles Lager,12
593,Cigar City Brewing Company,Tampa, FL,Operation Homefront,0.062,65,American IPA,12
594,Cigar City Brewing Company,Tampa, FL,Maduro Brown Ale,0.055,25,English Brown Ale,12
595,Cigar City Brewing Company,Tampa, FL,Tropical Heatwave,0.052,NA,American Pale Wheat Ale,16
596,Cigar City Brewing Company,Tampa, FL,Cubano Espresso,0.055,25,Bock,12
597,Cigar City Brewing Company,Tampa, FL,Jai Alai IPA,0.075,70,American IPA,12
598,Cigar City Brewing Company,Tampa, FL,Gwar Beer,0.055,NA,American Pale Ale (APA),12
599,Cigar City Brewing Company,Tampa, FL,Hopped on the High Seas (Ahtanum),0.07,60,American IPA,12
600,Cigar City Brewing Company,Tampa, FL,Hopped on the High Seas (Hop #529),0.07,60,American IPA,12
601,Big Storm Brewing Company,Odessa, FL,Arcus IPA,0.069,81,American IPA,12
602,Big Storm Brewing Company,Odessa, FL,Wavemaker,0.058,38,American Amber / Red Ale,12
603,Two Henrys Brewing Company,Plant City, FL,The Gilded Age,0.045,NA,Munich Helles Lager,12
604,Brew Bus Brewing,Tampa, FL,Last Stop IPA,0.072,60,American IPA,12
605,Brew Bus Brewing,Tampa, FL,"You're My Boy, Blue",0.05,NA,Fruit / Vegetable Beer,12
606,Brew Bus Brewing,Tampa, FL,Are Wheat There Yet?,0.055,28,American Pale Wheat Ale,12
607,Brew Bus Brewing,Tampa, FL,Rollin Dirty Red Ale,0.05,21,Irish Red Ale,12
608,Due South Brewing Company,Boynton Beach, FL,Category 3 IPA,0.061,64,American IPA,12
609,7venth Sun,Dunedin, FL,Wolfman's Berliner,0.038,NA,Berliner Weissbier,12
610,Bold City Brewery,Jacksonville, FL,Duke's Cold Nose Brown Ale,0.06,NA,American Brown Ale,12
611,Bold City Brewery,Jacksonville, FL,Killer Whale Cream Ale,0.055,NA,Cream Ale,12
612,Bold City Brewery,Jacksonville, FL,Mad Manatee IPA,0.065,NA,American IPA,12
613,Miami Brewing Company,Miami, FL,Gator Tail Brown Ale,0.053,30,American Brown Ale,12
614,Miami Brewing Company,Miami, FL,Big Rod Coconut Ale,0.053,16,American Blonde Ale,12
615,Miami Brewing Company,Miami, FL,Shark Bait,0.053,11,Fruit / Vegetable Beer,12
616,Miami Brewing Company,Miami, FL,Miami Vice IPA,0.071,62,American IPA,12
617,Swamp Head Brewery,Gainesville, FL,Cotton Mouth,0.05,10,Witbier,12
618,Swamp Head Brewery,Gainesville, FL,Stump Knocker Pale Ale,0.056,35,American Pale Ale (APA),12
619,Swamp Head Brewery,Gainesville, FL,Midnight Oil,0.05,38,Oatmeal Stout,12
620,Swamp Head Brewery,Gainesville, FL,Big Nose,0.073,50,American IPA,12
621,Swamp Head Brewery,Gainesville, FL,Wild Night,0.059,18,Cream Ale,12
622,Engine 15 Brewing,Jacksonville Beach, FL,Nut Sack Imperial Brown Ale,0.07,NA,American Brown Ale,12
623,Green Room Brewing,Jacksonville, FL,Pablo Beach Pale Ale,0.05,30,American Pale Ale (APA),12
624,Brindle Dog Brewing Company,Tampa Bay, FL,Orange Grove Wheat Ale,NA,NA,American Pale Wheat Ale,12
625,Brindle Dog Brewing Company,Tampa Bay, FL,Tampa Pale Ale,NA,NA,American Pale Ale (APA),12
626,Tampa Bay Brewing Company,Tampa, FL,Loafin Bräu,0.055,NA,Altbier,16
627,Tampa Bay Brewing Company,Tampa, FL,Old Elephant Foot IPA,0.07,80,American IPA,16
628,Intuition Ale Works,Jacksonville, FL,I-10 IPA,0.068,55,American IPA,12
629,Intuition Ale Works,Jacksonville, FL,Jon Boat Coastal Ale,0.045,20,American Blonde Ale,12
630,Intuition Ale Works,Jacksonville, FL,People's Pale Ale,0.053,28,American Pale Ale (APA),12
631,SweetWater Brewing Company,Atlanta, GA,420 Extra Pale Ale,0.054,NA,American Pale Ale (APA),12
632,SweetWater Brewing Company,Atlanta, GA,SweetWater IPA,0.064,NA,American IPA,12
633,SweetWater Brewing Company,Atlanta, GA,Take Two Pils,0.055,35,German Pilsener,12
634,SweetWater Brewing Company,Atlanta, GA,Waterkeeper,0.057,NA,Hefeweizen,12
635,Orpheus Brewing,Atlanta, GA,Atalanta,0.053,NA,Saison / Farmhouse Ale,12
636,Orpheus Brewing,Atlanta, GA,Lyric Ale,0.065,NA,Saison / Farmhouse Ale,12
637,Creature Comforts,Athens, GA,Tropicalia,0.065,65,American IPA,12
638,Creature Comforts,Athens, GA,Athena,0.045,NA,Berliner Weissbier,12
639,Macon Beer Company,Macon, GA,Macon Progress Ale,0.05,NA,American Pale Ale (APA),12
640,Macon Beer Company,Macon, GA,Macon History Ale,0.055,NA,American Brown Ale,12
641,Coastal Empire Beer Company,Savannah, GA,Savannah Brown Ale,0.062,55,American Brown Ale,12
642,Coastal Empire Beer Company,Savannah, GA,Tybee Island Blonde,0.047,17,American Blonde Ale,12
643,Terrapin Brewing Company,Athens, GA,RecreationAle,0.047,42,American Pale Ale (APA),12
644,Red Hare Brewing Company,Marietta, GA,Watership Brown Ale,0.072,55,American Brown Ale,12
645,Red Hare Brewing Company,Marietta, GA,Long Day Lager,0.049,NA,Czech Pilsener,12
646,Red Hare Brewing Company,Marietta, GA,Gangway IPA,0.062,55,American IPA,12
647,Mehana Brewing Co.,Hilo, HI,Hawaiian Crow Porter,0.052,27,American Porter,12
648,Mehana Brewing Co.,Hilo, HI,Tsunami IPA,0.072,75,American IPA,12
649,Mehana Brewing Co.,Hilo, HI,Tsunami IPA,0.072,75,American IPA,19.2
650,Mehana Brewing Co.,Hilo, HI,Volcano Red Ale,0.052,23,American Amber / Red Ale,12
651,Mehana Brewing Co.,Hilo, HI,Humpback Blonde Ale,0.042,22,American Blonde Ale,12
652,Mehana Brewing Co.,Hilo, HI,Mauna Kea Pale Ale,0.054,42,American Pale Ale (APA),12
653,Hawai'i Nui Brewing Co.,Hilo, HI,Hapa Brown Ale,0.064,NA,American Brown Ale,12
654,Hawai'i Nui Brewing Co.,Hilo, HI,Southern Cross,0.083,NA,Flanders Red Ale,19.2
655,Hawai'i Nui Brewing Co.,Hilo, HI,Kaua'i Golden Ale,0.049,NA,American Blonde Ale,12
656,Hawai'i Nui Brewing Co.,Hilo, HI,Hapa Brown Ale,0.064,NA,American Brown Ale,19.2
657,Hawai'i Nui Brewing Co.,Hilo, HI,Sunset Amber,0.054,NA,American Pale Ale (APA),12
658,Maui Brewing Company,Lahaina, HI,La Perouse White,0.05,12,Witbier,12
659,Maui Brewing Company,Lahaina, HI,Lemongrass Saison,0.05,NA,Saison / Farmhouse Ale,12
660,Maui Brewing Company,Lahaina, HI,Liquid Breadfruit,0.082,NA,Fruit / Vegetable Beer,12
661,Maui Brewing Company,Lahaina, HI,Sobrehumano Palena'ole,0.06,24,American Amber / Red Ale,12
662,Maui Brewing Company,Lahaina, HI,Lahaina Town Brown,0.051,20,American Brown Ale,12
663,Maui Brewing Company,Lahaina, HI,Pau Hana Pilsner,0.055,NA,Czech Pilsener,12
664,Maui Brewing Company,Lahaina, HI,Flyin' HI.P.Hay,0.068,68,American IPA,12
665,Maui Brewing Company,Lahaina, HI,Mana Wheat,0.055,15,American Pale Wheat Ale,12
666,Maui Brewing Company,Lahaina, HI,Bikini Blonde Lager,0.045,18,Munich Helles Lager,12
667,Maui Brewing Company,Lahaina, HI,Aloha B’ak’tun,0.07,NA,Belgian Strong Dark Ale,12
668,Maui Brewing Company,Lahaina, HI,Big Swell IPA,0.062,65,American IPA,12
669,Maui Brewing Company,Lahaina, HI,CoCoNut Porter,0.057,30,American Porter,12
670,Kona Brewing Company,Kona, HI,Longboard Island Lager,0.046,18,American Amber / Red Lager,16
671,Kona Brewing Company,Kona, HI,Longboard Island Lager,0.046,18,American Amber / Red Lager,24
672,Kona Brewing Company,Kona, HI,Longboard Island Lager,0.046,18,American Amber / Red Lager,12
673,Kona Brewing Company,Kona, HI,Longboard Island Lager,0.046,18,American Amber / Red Lager,12
674,Kalona Brewing Company,Kalona, IA,Lewbricator Wheat Dopplebock ,0.075,24,Doppelbock,12
675,Kalona Brewing Company,Kalona, IA,Sucha Much IPA,0.071,NA,American IPA,12
676,Great River Brewery,Davenport, IA,483 Pale Ale (2010),0.053,48,American Pale Ale (APA),16
677,Great River Brewery,Davenport, IA,Dos Pistolas,0.048,20,Vienna Lager,12
678,Great River Brewery,Davenport, IA,Barrel Aged Farmer,0.07,22,American Brown Ale,16
679,Great River Brewery,Davenport, IA,Roller Dam Red Ale,0.054,30,Irish Red Ale,16
680,Great River Brewery,Davenport, IA,Great River Golden Ale,0.048,NA,American Blonde Ale,12
681,Great River Brewery,Davenport, IA,40th Annual Bix Street Fest Copper Ale (Current),0.048,25,American Amber / Red Ale,16
682,Great River Brewery,Davenport, IA,Chickawawa Lemonale,0.05,5,Fruit / Vegetable Beer,12
683,Great River Brewery,Davenport, IA,Roller Dam Red Ale (2010),0.054,30,Irish Red Ale,16
684,Great River Brewery,Davenport, IA,Redband Stout,0.06,36,American Stout,16
685,Great River Brewery,Davenport, IA,Big Cock IPA,0.07,70,American IPA,16
686,Great River Brewery,Davenport, IA,Aaah Bock Lager,0.06,NA,Vienna Lager,16
687,Great River Brewery,Davenport, IA,Dirty Blonde Chocolate Ale,0.048,NA,American Blonde Ale,12
688,Great River Brewery,Davenport, IA,Owney Irish Style Red Ale,0.05,30,Irish Red Ale,16
689,Great River Brewery,Davenport, IA,483 Pale Ale,0.053,48,American Pale Ale (APA),16
690,Great River Brewery,Davenport, IA,Oktoberfest,0.059,25,Märzen / Oktoberfest,16
691,Great River Brewery,Davenport, IA,Farmer Brown Ale,0.07,22,American Brown Ale,16
692,Great River Brewery,Davenport, IA,Hop A Potamus Double Dark Rye Pale Ale,0.09,99,Rye Beer,16
693,Great River Brewery,Davenport, IA,Widespread Wit,0.055,10,Witbier,16
694,Peace Tree Brewing Company,Knoxville, IA,Side Kick Kölsch,0.05,NA,Kölsch,12
695,Okoboji Brewing Company,Spirit Lake, IA,Boji Beach Golden Rye Ale,0.05,23,Rye Beer,16
696,Okoboji Brewing Company,Spirit Lake, IA,33 Select Brown Ale,0.065,26,American Brown Ale,16
697,Okoboji Brewing Company,Spirit Lake, IA,Midwest Charm Farmhouse Ale,0.06,29,Saison / Farmhouse Ale,16
698,Okoboji Brewing Company,Spirit Lake, IA,Boji Blue Pale Ale,0.05,45,American Pale Ale (APA),16
699,Okoboji Brewing Company,Spirit Lake, IA,The Hole in Hadrian's Wall,0.095,19,Scottish Ale,16
700,Okoboji Brewing Company,Spirit Lake, IA,Winter Games Select #32 Stout,0.057,26,American Stout,16
701,Confluence Brewing Company,Des Moines, IA,Des Moines IPA,0.068,75,American IPA,16
702,Confluence Brewing Company,Des Moines, IA,Farmer John's Multi-Grain Ale,0.056,21,American Blonde Ale,16
703,Confluence Brewing Company,Des Moines, IA,Capital Gold Golden Lager,0.048,22,German Pilsener,16
704,Crooked Fence Brewing Company,Garden City, ID,Rusty Nail Pale Ale,0.056,NA,American Pale Ale (APA),12
705,Crooked Fence Brewing Company,Garden City, ID,Aviator Raspberry Blonde,0.049,25,American Blonde Ale,12
706,Crooked Fence Brewing Company,Garden City, ID,3 Picket Porter,0.055,NA,American Porter,12
707,Laughing Dog Brewing Company,Ponderay, ID,Laughing Dog Cream Ale,0.05,12,Cream Ale,12
708,Laughing Dog Brewing Company,Ponderay, ID,Two-One Niner,0.048,9,American Pilsner,12
709,Laughing Dog Brewing Company,Ponderay, ID,Laughing Dog IPA,0.064,66,American IPA,12
710,Payette Brewing Company,Garden City, ID,Payette Pale Ale,0.048,35,American Pale Ale (APA),12
711,Payette Brewing Company,Garden City, ID,Mutton Buster,0.055,25,American Brown Ale,12
712,Payette Brewing Company,Garden City, ID,Rodeo Rye Pale Ale,0.042,35,American Pale Ale (APA),12
713,Payette Brewing Company,Garden City, ID,Outlaw IPA,0.062,65,American IPA,12
714,Payette Brewing Company,Garden City, ID,North Fork Lager,0.044,NA,American Pale Lager,12
715,Sockeye Brewing Company,Boise, ID,Old Devil's Tooth,0.099,100,American Barleywine,12
716,Sockeye Brewing Company,Boise, ID,Sockeye Belgian Style Summer Ale,0.05,NA,Witbier,16
717,Sockeye Brewing Company,Boise, ID,Hell-Diver Pale Ale,0.052,32,American Pale Ale (APA),12
718,Sockeye Brewing Company,Boise, ID,Boise Co-Op Two Score Ale,0.055,NA,Saison / Farmhouse Ale,16
719,Sockeye Brewing Company,Boise, ID,Sockeye Maibock,0.064,NA,Maibock / Helles Bock,12
720,Sockeye Brewing Company,Boise, ID,Dagger Falls IPA,0.063,100,American IPA,12
721,Sockeye Brewing Company,Boise, ID,Socktoberfest,0.06,NA,Märzen / Oktoberfest,16
722,Sockeye Brewing Company,Boise, ID,Galena Golden,0.043,NA,American Blonde Ale,12
723,Sockeye Brewing Company,Boise, ID,Double Dagger Imperial IPA,0.092,NA,American Double / Imperial IPA,12
724,Sockeye Brewing Company,Boise, ID,Thanksgiving Ale,0.05,NA,Kölsch,12
725,Sockeye Brewing Company,Boise, ID,Winterfest,0.084,90,American Strong Ale,16
726,Sockeye Brewing Company,Boise, ID,Barrel Aged Seven Devils Imperial Stout,0.099,NA,American Double / Imperial Stout,12
727,Sockeye Brewing Company,Boise, ID,Woolybugger Wheat,0.046,12,American Pale Wheat Ale,12
728,Sockeye Brewing Company,Boise, ID,Hopnoxious Imperial IPA,0.079,NA,American Double / Imperial IPA,12
729,Sockeye Brewing Company,Boise, ID,Power House Porter,0.057,NA,American Porter,12
730,Sockeye Brewing Company,Boise, ID,Dagger Falls IPA,0.063,100,American IPA,12
731,Sockeye Brewing Company,Boise, ID,Dagger Falls IPA,0.063,100,American IPA,12
732,Slanted Rock Brewing Company,Meridian, ID,Iron Butt Red Ale,0.058,39,American Amber / Red Ale,12
733,Slanted Rock Brewing Company,Meridian, ID,Initial Point India Pale Ale,0.071,92,American IPA,12
734,Big Muddy Brewing,Murphysboro, IL,Blueberry Blonde,0.06,NA,Fruit / Vegetable Beer,12
735,Big Muddy Brewing,Murphysboro, IL,Galaxy IPA,0.075,60,American IPA,16
736,Revolution Brewing Company,Chicago, IL,Anti-Hero IPA,0.065,70,American IPA,12
737,Revolution Brewing Company,Chicago, IL,Rosa Hibiscus Ale,0.058,15,Herbed / Spiced Beer,12
738,Revolution Brewing Company,Chicago, IL,Fistmas Ale,0.061,31,Herbed / Spiced Beer,12
739,Revolution Brewing Company,Chicago, IL,Fist City,0.055,40,American Pale Ale (APA),12
740,Revolution Brewing Company,Chicago, IL,Oktoberfest Revolution,0.057,25,Märzen / Oktoberfest,12
741,Revolution Brewing Company,Chicago, IL,A Little Crazy,0.068,NA,Belgian Pale Ale,12
742,Revolution Brewing Company,Chicago, IL,Eugene Porter,0.068,28,American Porter,12
743,Revolution Brewing Company,Chicago, IL,Bottom Up Belgian Wit,0.05,14,Witbier,12
744,Pipeworks Brewing Company,Chicago, IL,Blood of the Unicorn,0.065,NA,American Amber / Red Ale,16
745,Flesk Brewing Company,Lombard, IL,Moped Traveler,0.055,NA,American Pale Ale (APA),16
746,Pollyanna Brewing Company,Lemont, IL,Mazzie,0.054,45,American Pale Ale (APA),12
747,BuckleDown Brewing,Lyons, IL,Painted Turtle,0.045,NA,American Pale Ale (APA),12
748,Destihl Brewery,Bloomington, IL,Abbey's Single Ale (Current),0.049,22,Abbey Single Ale,12
749,Destihl Brewery,Bloomington, IL,Here Gose Nothin',0.05,12,Gose,12
750,Destihl Brewery,Bloomington, IL,Vertex IPA,0.063,76,American IPA,12
751,Destihl Brewery,Bloomington, IL,Strawberry Blonde,0.05,NA,Fruit / Vegetable Beer,12
752,Destihl Brewery,Bloomington, IL,Hoperation Overload,0.096,85,American Double / Imperial IPA,12
753,Destihl Brewery,Bloomington, IL,Weissenheimer,0.052,16,Hefeweizen,12
754,Destihl Brewery,Bloomington, IL,Abbey's Single (2015- ),0.049,22,Abbey Single Ale,12
755,SlapShot Brewing Company,Chicago, IL,Tripel Deke,0.082,NA,Tripel,24
756,SlapShot Brewing Company,Chicago, IL,Monkey Dancing On A Razor Blade,0.085,NA,Belgian IPA,24
757,Mikerphone Brewing,Chicago, IL,Vinyl Frontier,0.083,NA,American Double / Imperial IPA,24
758,Mikerphone Brewing,Chicago, IL,Spin Doctor,0.053,NA,American Pale Ale (APA),24
759,Mikerphone Brewing,Chicago, IL,Love In An Ellavator,0.075,NA,American IPA,24
760,Mikerphone Brewing,Chicago, IL,Daft Funk,0.043,8,Berliner Weissbier,24
761,Mikerphone Brewing,Chicago, IL,Misty Mountain Hop,0.075,NA,American IPA,24
762,Mikerphone Brewing,Chicago, IL,One-Hit Wonderful,0.075,NA,Belgian IPA,24
763,Mikerphone Brewing,Chicago, IL,En Parfaite Harmonie,0.065,NA,Saison / Farmhouse Ale,24
764,Mikerphone Brewing,Chicago, IL,Disco Superfly,0.08,NA,American IPA,24
765,Two Brothers Brewing Company,Warrenville, IL,Sidekick Extra Pale Ale,0.051,36,American Pale Ale (APA),12
766,Two Brothers Brewing Company,Warrenville, IL,Cane and Ebel,0.07,68,American Strong Ale,12
767,Two Brothers Brewing Company,Warrenville, IL,Testudo,0.045,NA,Bière de Garde,12
768,Two Brothers Brewing Company,Warrenville, IL,Dog Days Lager,0.051,17,Dortmunder / Export Lager,12
769,Two Brothers Brewing Company,Warrenville, IL,Night Cat (2014),0.058,43,American Dark Wheat Ale,12
770,Two Brothers Brewing Company,Warrenville, IL,Atom Smasher,0.077,23,Märzen / Oktoberfest,12
771,Two Brothers Brewing Company,Warrenville, IL,Hobnob B & B Pale Ale,0.065,NA,American Pale Ale (APA),12
772,Two Brothers Brewing Company,Warrenville, IL,Outlaw IPA (2015),0.065,NA,American IPA,12
773,Two Brothers Brewing Company,Warrenville, IL,Night Cat,0.058,43,American Dark Wheat Ale,12
774,Two Brothers Brewing Company,Warrenville, IL,Wobble,0.063,69,American IPA,16
775,Goose Island Brewing Company,Chicago, IL,312 Urban Pale Ale,0.054,30,American Pale Ale (APA),16
776,Goose Island Brewing Company,Chicago, IL,312 Urban Wheat Ale,0.042,18,American Pale Wheat Ale,16
777,Goose Island Brewing Company,Chicago, IL,312 Urban Pale Ale,0.054,30,American Pale Ale (APA),12
778,Goose Island Brewing Company,Chicago, IL,312 Urban Wheat Ale,0.042,18,American Pale Wheat Ale,12
779,Goose Island Brewing Company,Chicago, IL,312 Urban Wheat Ale (2012),0.042,20,American Pale Wheat Ale,12
780,Spiteful Brewing Company,Chicago, IL,Angry Adam,0.06,NA,American Amber / Red Ale,16
781,Spiteful Brewing Company,Chicago, IL,Working for the Weekend,0.079,NA,American Double / Imperial IPA,16
782,Spiteful Brewing Company,Chicago, IL,God Damn Pigeon Porter,0.082,NA,American Porter,16
783,Spiteful Brewing Company,Chicago, IL,Fat Badger,0.058,NA,Irish Red Ale,12
784,Spiteful Brewing Company,Chicago, IL,Bitter Biker Double IPA,0.096,NA,American Double / Imperial IPA,16
785,Spiteful Brewing Company,Chicago, IL,Alley Time,0.06,NA,American Pale Ale (APA),12
786,Spiteful Brewing Company,Chicago, IL,In the Weeds,0.055,NA,American Pale Wheat Ale,12
787,Spiteful Brewing Company,Chicago, IL,Bitter Biker Double IPA,0.096,NA,American Double / Imperial IPA,12
788,Spiteful Brewing Company,Chicago, IL,Ball & Chain (2014),0.058,NA,American Pale Ale (APA),16
789,Spiteful Brewing Company,Chicago, IL,Freedom Fries,0.055,NA,American Stout,16
790,Spiteful Brewing Company,Chicago, IL,Ghost Bike Pale Ale,0.073,NA,American Pale Ale (APA),16
791,Spiteful Brewing Company,Chicago, IL,Spiteful IPA,0.062,NA,American IPA,12
792,Goose Island Brewery Company,Chicago, IL,Goose Island India Pale Ale,0.059,55,American IPA,12
793,Temperance Beer Company,Evanston, IL,Greenwood Beach,0.04,NA,Fruit / Vegetable Beer,12
794,Temperance Beer Company,Evanston, IL,Gatecrasher,0.066,NA,English India Pale Ale (IPA),12
795,Temperance Beer Company,Evanston, IL,Smittytown,0.048,NA,Extra Special / Strong Bitter (ESB),12
796,Finch's Beer Company,Chicago, IL,Nuclear Winter,0.086,NA,Belgian Strong Dark Ale,16
797,Finch's Beer Company,Chicago, IL,Cut Throat Pale Ale (2011),0.055,NA,American Pale Ale (APA),16
798,Finch's Beer Company,Chicago, IL,Golden Wing Blonde Ale,0.047,NA,American Blonde Ale,16
799,Finch's Beer Company,Chicago, IL,Fascist Pig Ale,0.08,72,American Amber / Red Ale,16
800,Finch's Beer Company,Chicago, IL,Secret Stache Stout,0.053,NA,American Stout,16
801,Finch's Beer Company,Chicago, IL,Cut Throat Pale Ale,0.055,NA,American Pale Ale (APA),16
802,Finch's Beer Company,Chicago, IL,Hardcore Chimera,0.09,NA,American Double / Imperial IPA,16
803,Finch's Beer Company,Chicago, IL,Threadless IPA,0.075,NA,American IPA,16
804,Finch's Beer Company,Chicago, IL,Sobek & Set,0.08,80,American Black Ale,16
805,Finch's Beer Company,Chicago, IL,Wet Hot American Wheat Ale,0.05,22,American Pale Wheat Ale,16
806,Half Acre Beer Company,Chicago, IL,Akari Shogun American Wheat Ale,0.055,NA,American Pale Wheat Ale,16
807,Half Acre Beer Company,Chicago, IL,Daisy Cutter Pale Ale,0.052,NA,American Pale Ale (APA),16
808,Half Acre Beer Company,Chicago, IL,Guest Lager,0.08,NA,American Double / Imperial Pilsner,16
809,Half Acre Beer Company,Chicago, IL,Heyoka IPA,0.07,NA,American IPA,16
810,Half Acre Beer Company,Chicago, IL,Gossamer Golden Ale,0.042,NA,American Blonde Ale,16
811,Half Acre Beer Company,Chicago, IL,Over Ale,0.06,NA,American Brown Ale,16
812,Half Acre Beer Company,Chicago, IL,Pony Pilsner,0.057,NA,German Pilsener,16
813,Half Acre Beer Company,Chicago, IL,Meat Wave,0.06,NA,English India Pale Ale (IPA),16
814,Wild Onion Brewing Company,Lake Barrington, IL,Pumpkin Ale,0.045,NA,Pumpkin Ale,12
815,Wild Onion Brewing Company,Lake Barrington, IL,Hop Slayer Double IPA (2011),0.082,100,American Double / Imperial IPA,12
816,Wild Onion Brewing Company,Lake Barrington, IL,Jack Stout,0.06,23,Oatmeal Stout,12
817,Wild Onion Brewing Company,Lake Barrington, IL,Hop Slayer Double IPA (2011),0.082,100,American Double / Imperial IPA,12
818,Wild Onion Brewing Company,Lake Barrington, IL,Phat Chance,0.052,27,American Blonde Ale,12
819,Wild Onion Brewing Company,Lake Barrington, IL,Big Bowl Blonde Ale,0.05,NA,American Brown Ale,12
820,Wild Onion Brewing Company,Lake Barrington, IL,Hop Slayer Double IPA,0.082,100,American Double / Imperial IPA,12
821,Wild Onion Brewing Company,Lake Barrington, IL,Wild Onion Summer Wit,0.042,13,Witbier,12
822,Wild Onion Brewing Company,Lake Barrington, IL,Paddy Pale Ale,0.056,41,American Pale Ale (APA),12
823,Wild Onion Brewing Company,Lake Barrington, IL,Wild Onion Pumpkin Ale (2010),0.045,NA,Pumpkin Ale,12
824,Mickey Finn's Brewery,Libertyville, IL,Mickey Finn's Amber Ale,0.056,NA,American Amber / Red Ale,12
825,Flat 12 Bierwerks,Indianapolis, IN,Deflator,0.065,NA,Doppelbock,16
826,Flat 12 Bierwerks,Indianapolis, IN,Hinchtown Hammer Down,0.05,27,American Blonde Ale,16
827,Flat 12 Bierwerks,Indianapolis, IN,Half Cycle IPA,0.06,104,American IPA,16
828,Tin Man Brewing Company,Evansville, IN,Klingon Warnog Roggen Dunkel,0.055,NA,Roggenbier,16
829,Tin Man Brewing Company,Evansville, IN,Rivet Irish Red Ale,0.051,22,Irish Red Ale,16
830,Tin Man Brewing Company,Evansville, IN,Circuit Bohemian Pilsner,0.045,35,Czech Pilsener,16
831,Tin Man Brewing Company,Evansville, IN,3 Gear Robust Porter,0.052,50,American Porter,16
832,Tin Man Brewing Company,Evansville, IN,Overlord Imperial IPA,0.085,115,American Double / Imperial IPA,16
833,Tin Man Brewing Company,Evansville, IN,Alloy,0.058,36,American IPA,16
834,Tin Man Brewing Company,Evansville, IN,Cafe Leche,0.058,20,American Porter,16
835,Tin Man Brewing Company,Evansville, IN,Csar,0.12,90,Russian Imperial Stout,16
836,Tin Man Brewing Company,Evansville, IN,Damascene Apricot Sour,0.052,12,Fruit / Vegetable Beer,16
837,Black Acre Brewing Co.,Indianapolis, IN,Saucy Intruder,0.072,75,Rye Beer,16
838,Brew Link Brewing,Plainfield, IN,Insert Hop Reference,0.058,NA,American Pale Ale (APA),16
839,Bare Hands Brewery,Granger, IN,Thai.p.a,0.07,46,American IPA,16
840,Three Pints Brewing,Martinsville, IN,Yoshi's Nectar,0.053,27,California Common / Steam Beer,16
841,Three Pints Brewing,Martinsville, IN,Pole Barn Stout,0.055,31,Oatmeal Stout,16
842,Three Pints Brewing,Martinsville, IN,Pale,0.054,37,American Pale Ale (APA),16
843,Three Pints Brewing,Martinsville, IN,Citra Faced,0.055,64,American Pale Wheat Ale,16
844,Four Fathers Brewing ,Valparaiso, IN,The 26th,0.06,NA,American IPA,16
845,Four Fathers Brewing ,Valparaiso, IN,The Gadget,0.064,90,American IPA,16
846,Four Fathers Brewing ,Valparaiso, IN,Father's Beer,0.05,NA,Belgian Pale Ale,16
847,Four Fathers Brewing ,Valparaiso, IN,Feel Like Maplin' Love,0.055,NA,Oatmeal Stout,16
848,Indiana City Brewing,Indianapolis, IN,Tribute,0.058,58,American Pale Ale (APA),12
849,Burn 'Em Brewing,Michigan City, IN,Kreamed Corn,0.06,NA,Cream Ale,12
850,Burn 'Em Brewing,Michigan City, IN,Pale Alement,0.055,40,American Pale Ale (APA),16
851,Burn 'Em Brewing,Michigan City, IN,Joey Wheat,0.068,16,American Pale Wheat Ale,16
852,Burn 'Em Brewing,Michigan City, IN,Black Beer'd,0.068,NA,American Black Ale,16
853,Burn 'Em Brewing,Michigan City, IN,Hopkick Dropkick,0.099,115,American Double / Imperial IPA,12
854,Burn 'Em Brewing,Michigan City, IN,MCA,0.068,NA,American IPA,16
855,Burn 'Em Brewing,Michigan City, IN,Mr. Tea,0.078,NA,Fruit / Vegetable Beer,24
856,Burn 'Em Brewing,Michigan City, IN,Wrath of Pele,0.065,NA,American Brown Ale,16
857,Burn 'Em Brewing,Michigan City, IN,Pale Alement,0.055,40,American Pale Ale (APA),12
858,Burn 'Em Brewing,Michigan City, IN,3:33 Black IPA,0.072,86,American IPA,16
859,Burn 'Em Brewing,Michigan City, IN,Coconoats,0.065,NA,American Pale Wheat Ale,16
860,Sun King Brewing Company,Indianapolis, IN,Cowbell,0.054,23,American Porter,16
861,Sun King Brewing Company,Indianapolis, IN,Whip Fight,0.09,30,Scotch Ale / Wee Heavy,16
862,Sun King Brewing Company,Indianapolis, IN,Bourbon Barrel Batch 666: Sympathy for the Devil,0.099,36,Belgian Dark Ale,16
